episode_id,num_steps,keep_candidate,filter_reasons,has_nan_or_inf,max_abs_joint_velocity,num_timestamp_gaps,bad_frame_ratio,num_bad_frames,num_sampled_video_frames
0,143,True,,False,0.19873459218463152,0,0.0,0,29
1,148,True,,False,0.211664524881268,0,0.0,0,30
2,141,True,,False,0.18588024995708483,0,0.0,0,29
3,130,True,,False,0.3289828958756029,0,0.0,0,26
4,132,True,,False,0.1557652647640846,0,0.0,0,27
5,132,True,,False,0.2613015935837037,0,0.0,0,27
6,155,True,,False,0.2065602424719262,0,0.0,0,31
7,175,True,,False,0.1850165819489214,0,0.0,0,35
8,152,True,,False,0.16801930247861374,0,0.0,0,31
9,124,True,,False,0.18330772330198936,0,0.0,0,25
10,143,True,,False,0.34467715555470785,0,0.0,0,29
11,164,True,,False,0.3425102281180263,0,0.0,0,33
12,152,True,,False,0.2812874764561429,0,0.0,0,31
13,151,True,,False,0.15933336591739225,0,0.0,0,31
14,132,True,,False,0.374402909901533,0,0.0,0,27
15,115,True,,False,0.16500362547326358,0,0.0,0,23
16,162,True,,False,0.22719956250149012,0,0.0,0,33
17,161,True,,False,0.3130504840474737,0,0.0,0,33
18,153,True,,False,0.20780816373728028,0,0.0,0,31
19,161,True,,False,0.3767638809747468,0,0.0,0,33
20,156,True,,False,0.326491615446604,0,0.0,0,32
21,167,True,,False,0.27825227033225886,0,0.0,0,34
22,136,True,,False,0.27672823832343896,0,0.0,0,28
23,130,True,,False,0.39600052452137424,0,0.0,0,26
24,126,True,,False,0.27692420940700757,0,0.0,0,26
25,136,True,,False,0.22435817963340898,0,0.0,0,28
26,137,True,,False,0.3848876277918709,0,0.0,0,28
27,159,True,,False,0.2436109347805355,0,0.0,0,32
28,129,True,,False,0.2545816862488913,0,0.0,0,26
29,136,True,,False,0.3598762731503557,0,0.0,0,28
30,125,True,,False,0.2874195150263453,0,0.0,0,25
31,145,True,,False,0.2162042710548652,0,0.0,0,29
32,139,True,,False,0.35076413227475384,0,0.0,0,28
33,153,True,,False,0.2716340709198891,0,0.0,0,31
34,224,True,,False,0.28253730640485225,0,0.0,0,45
35,168,True,,False,0.24327868102511038,0,0.0,0,34
36,135,True,,False,0.3861280487804878,0,0.0,0,27
37,144,True,,False,0.2470735651394389,0,0.0,0,29
38,158,True,,False,0.19450295639320028,0,0.0,0,32
39,133,True,,False,0.2535546584428465,0,0.0,0,27
40,163,True,,False,0.19079196767040985,0,0.0,0,33
41,127,True,,False,0.22720284076007916,0,0.0,0,26
42,160,True,,False,0.2633400428679058,0,0.0,0,32
43,152,True,,False,0.12419325036358868,0,0.0,0,31
44,137,True,,False,0.16896925694040454,0,0.0,0,28
45,169,True,,False,0.21517347418651891,0,0.0,0,34
46,125,True,,False,0.2516426604908543,0,0.0,0,25
47,132,True,,False,0.1830758621182933,0,0.0,0,27
48,151,True,,False,0.20974833599367718,0,0.0,0,31
49,153,True,,False,0.22849591828949628,0,0.0,0,31
