episode_id,num_steps,keep_candidate,filter_reasons,has_nan_or_inf,max_abs_joint_velocity,num_timestamp_gaps,bad_frame_ratio,num_bad_frames,num_sampled_video_frames
0,143,True,,False,0.19873459218463152,0,0.0,0,15
1,148,True,,False,0.211664524881268,0,0.0,0,15
2,141,True,,False,0.18588024995708483,0,0.0,0,15
3,130,True,,False,0.3289828958756029,0,0.0,0,13
4,132,True,,False,0.1557652647640846,0,0.0,0,14
5,132,True,,False,0.2613015935837037,0,0.0,0,14
6,155,True,,False,0.2065602424719262,0,0.0,0,16
7,175,True,,False,0.1850165819489214,0,0.0,0,18
8,152,True,,False,0.16801930247861374,0,0.0,0,16
9,124,True,,False,0.18330772330198936,0,0.0,0,13
10,143,True,,False,0.34467715555470785,0,0.0,0,15
11,164,True,,False,0.3425102281180263,0,0.0,0,17
12,152,True,,False,0.2812874764561429,0,0.0,0,16
13,151,True,,False,0.15933336591739225,0,0.0,0,16
14,132,True,,False,0.374402909901533,0,0.0,0,14
15,115,True,,False,0.16500362547326358,0,0.0,0,12
16,162,True,,False,0.22719956250149012,0,0.0,0,17
17,161,True,,False,0.3130504840474737,0,0.0,0,17
18,153,True,,False,0.20780816373728028,0,0.0,0,16
19,161,True,,False,0.3767638809747468,0,0.0,0,17
